content,score,Sentimen
"Mohon maaf,,,sebagai pengguna bukalapak payleter saya hanya mau mengingatkan saja,,,supaya penagihan nya yang sopan,kalau memang perusahaan besar ya yang punya etika ,pendidikan penting buat kolektor nya ,,,,semoga sukses",1,Negatif
"Aplikasi ini makanya sepi peminat, karena banyak sekali kendala dan kelemahan, pertama untuk penjual apabila mau kasih deskripsi produk itu yg muncul pasti tidak ada spasi, walaupun sudah kamu edit berulang kali dan dikasih spasi, saat kamu simpan akan kembali tidak ada spasi, dan juga kamu tidak bisa ganti foto profil , dan masih banyak lagi kendala di aplikasi ini, mhon untuk diperbaiki ya, biar gak kalah sama si orange dan si ijo, dan juga si tok tok",1,Negatif
"Aku sudah jadi seller 6 tahun dan sekarang paling terpuruknya bukalapak, toko tidak bisa update barang, upload barang dan barang yang sudah terjual banyak pun disikat habis habisan ,makasih buat bukalapak.",1,Negatif
Aplikasi parah ini nyairkan dana ke rekening butuh waktu berhari2x.penanganan komplain nya lambat,5,Positif
"Kacau banget bukalapak sekarang, jual barang di bukalapak senilai 7jt, setelah uang cair dipotong sama bukalapak hampir 350rb tanpa ada penjelasan, cs gabisa di hubungin.",1,Negatif
"Saya kecewa, karena saldo dana saya sejumlah 3.000.000 di tarik oleh bukalapak padahal saya perna melakukan transaksi tersebut bahkan tidak memiliki aplikasi bukalapak tersebut. Mohon kembalikan saldo dana saya yg di ambil oleh pihak bukalapak tanpa sepengetahuan saya",1,Negatif
"Aplikasinya kok tambah parah. Biaya cod naik, tambah mahal. Dan gak ada keterangan. Pilihan kurir di etalase ada tapi mau diklik bayar gak ada. Yg bener dong keterangan kurirnya Adalagi voucher kadaluwarsa, padahal tanggal berakhirnya masih panjang. MAKSUDNYA APAA. Dan estimasi ongkirnya beda dgn realnya, Paylater makin menyebalkan, harus tambah biaya layanan, padahal sudah ada bunga 20000. Dan tambah lagi, sekarang gak ada voucher ongkir gratis, kalah sama toko sebelah.",1,Negatif
"Minim promo, aplikasi kurang responsif, mengenai barang relatif kalah baik secara kelengkapan maupun harga apabila dibandingkan marketplace lain.",1,Negatif
Mohon segera di proses untuk pencairan dananya ya min tolonglah dikasih estimasi waktu karena itu kan juga uang saya sendiri giliran di tnya paling lama kapan gk bisa jawab. Jangan lama-lama karena uangnya juga segera di pakai dan biar Bukalapak juga semakin banyak penggunanya.,2,Negatif
",,kenapa aplikasi buka lapak ini bisa masuk d akun dana saya,,terus melakukan transaksi,, mengambil uang di dana saya,, sedang kan saya sendiri tidak melakukan transaksi,,kembali kan uang yg aplikasi ini ambil,,saya tidak terima,,tolong balikin uang saya",1,Negatif
Dengan Dana berbelanja jadi mudah dan menyenangkan walaupun beberapa waktu lalu susah di gunakan,5,Positif
"Kenapa akun mitra Bukalapak saya dibekukan dan tidak bisa melakukan semua transaksi atau tarik dana, sudah konfirmasi ke bukalapor tetapi jawabannya sangat tidak membantu. Dan saya dimintai foto bukti transfer dan buku rekening yang atas namanya buka atas nama saya. Mohon admin gmna tidak lanjutnya untuk masalah ini",1,Negatif
"Belanja praktis, banyak pilihan, efisien & lebih hemat, duduk manis barang sampe rumah, low cost.. eh hemat biaya, hemat waktu 🤗 dan ""Bukalapak sangat responsif dlm menyelesaikan komplain"" 👍",5,Positif
"Saya seller lama di bukalapak hampir 2000 jenis produk saya jual,3 blm terakhir tidak ada penjualan padahal sudah iklan prabayar, saya tanya ke admin katanya lapak saya bermasalah gak bisa buat jualan lagi, padahal saya cek performa lapak saya bagus 93% dan Sebelumnya gak ada notifikasi atau pemberitahuan tentang pelanggaran toko saya,dan saran admin agar saya bikin akun baru lagi,,wah gak jelas ini!!tutup permanen aja lagian masih ada toko sebelah yg lebih bagus shopee tokopedia lazada,,",1,Negatif
"System terlalu ribet dan sulit. Untuk mengganti nomor telepon saja pakai bukti riwayat pembelian berikut nomor transaksinya. Sedangkan riwayat pembelian itu sudah bertahun tahun yang lalu, dan sudah terhapus di riwayat transaksi. Jadi tidak bisa mengganti nomor telepon. nomor telepon yang terdaftar sudah tidak aktif. Hadeeh, mau belanja gak bisa lagi. Hapus akun pun dibuat ribet dan akhirnya gak bisa juga. Ya sudah, auto uninstall aplikasi aja. Pakai merchant sebelah aja 😌 apk udah gak guna👎",1,Negatif
jangan pilih bukalapak. bukalapak seenaknya tidak mengembalikan uang pengembalian ke konsumen atas barang yg tidak dikirim penjual..,1,Negatif
"Aplikasi sampah, login berkali-kali tetap tidak bisa memakai email yang sama, sangat payah, komplainnya sangat tidak membantu mengatasi nya, bahkan masukkan email yang sama tetap tidak bisa, seharusnya bila tidak bisa login dari nomor setidaknya di sediakan menu login memakai email. Dari kritik saya tersebut perlu di tingkatkan lagi terutama login jangan di susahin. Saya kasih satu bintang.",1,Negatif
Agak bingung sedikit gak seperti awal pertama jualan pulsa di Bukalapak mudah dan praktis,4,Positif
"Nama kami dulu besar di sini, performa lapak sangat bagus, namun sangat di sayangkan semnjak ada vrifikasi data, CS kurang bisa membantu, akun seller di bekukan sepihak gara² verifikasi selalu gagal dan tidak ada bantuan secara serius dari BL, namun tak jadi masalah, masih ada TOKOPEDIA dan SHOPEE yg bisa memberikan Harapan, Saya banyak terima kasih kepada BL yg telah membesarkan Nama Kami. BL seller makin Mahal ☝️Mari Kita lihat.? Apakah apk ini bisa bertahan atau malah di tinggalkan pengguna.?",1,Negatif
TOLONG DONG PESAN CHAT DIBIKIN LANCAR DARI DULU GAK ADA PERUBAHAN. LEMOTT SUPER LEMOT. BUKA PESAN MASUK LOADING NYA LAMA SUPER JELEK DI PESAN CHAT BUKALAPAK INI. Baru kemarwn saya kasih bintang 5. Sekrang intang 1. Ini aplikasi makin berat aja. Masa selalu ngelag . Ngaheng terua ketika cek stok barang di jual. Benerin dong . Tiba tiba ada tulisan . Bukalapak tidak mereapon. Tutup aplikasi. Eits dah parah ngaheng,5,Positif
"Terus memperbaiki & terus memberikan pelayanan yg terbaik pada costumers nya,supaya nyaman,aman bagi pelanggan nya & terimakasih team buka lapak🙏",5,Positif
Gila nih aplikasi mapia banget. Ngadain playater bunga nya 3x lipat dari harga yg di bayarkan. Gila. Aplksi lain aja gak sampe 2x lipat.ngadain playlater malah Nyekik banget bukan nge bantu Gila...!!!,1,Negatif
"LAYANAN KOMPLAIN SERING STATUSNYA 404. Sudah hampir setahun, Pelayanan BUKALAPAK makin menurun, respon chat komplain oleh CS slow respon dalam hal penanganan masalah",1,Negatif
"Perbaiki untuk pencarian barang dan harga juga yg bisa bersaing dengan aplikasi lainnya. Karena dgn pelapak & barang yg sama, harga di BL lebih mahal dgn di aplikasi lain.",5,Positif
Kurir ramah penjual cepat respon pengiriman cepat sampai terimakasih,5,Positif
"katanya ada promo gratis ongkir buat pengguna baru kok saya gaada?.terus juga digambar ada tulisan ""promo incaranmu"" gaada tulisan gratis ongkir.bener² kecewa berat",1,Negatif
"Halo, ini kenapa setelah pembaruan aplikasi kok malah jadi gak bisa upload produk yg sesuai dg kategori sparepart motor / aksesoris motor yah? Aneh sekali. Udah bukalapak sekarang sepi peminat, di tambah skrg mau upload produk aja di bikin susah dan ribet. Konyolllll !!!!!!",1,Negatif
"Aplikasi yang sangat membantu untuk paylater nya cuma limit ny kecil , semoga bisa lebih besar lagi limitnya",5,Positif
"Transaksi cepat, mudah dan aman. Belum pernah mengalami kendala/masalah dalam bertransaksi.",5,Positif
bukalapak sangat mengecewakan...blnja produk digital tdk ada pertanggung jawaban...jd penipu bebas mempromosikan brg produk digital...saya tdk prnh menerima brg...tp sistim bisa otomatis mrngubah status pesanan SELESAI..sgt merugikan,1,Negatif
"Saya memesan barang tgl 27 maret 2024 ,barang tidak sampai ,. Dan uang sampe saat ini belum kembali total 288000 ribu .. Saya mohon maaf uang saya segera di kembalikan ,supaya saya masih mau belanja di bukalapak ..",1,Negatif
"Verifikasi pembayaran lumayan cepat, saat mengakses barang favorite sudah diperbaiki Sekarang juga bisa bayar lewat BRI Syariah Virtual Account. Mantap ✊👌 Walaupun saya sekarang seringnya pakai briva",5,Positif
Aplikasi buka lapak kenapa ya jadi jelek banget .... Saya gk pernah belanja apapun kok tiba tiba saldo dana yang tadi ny 580.000 ribu kok jadi tinggal 3500 perak....,1,Negatif
"Sudah lama uninstal apk ini, barusan instal lagi. Eh ternyata masih tidak ada promo menarik. Gratis ongkir harus belanja minimal 500k denga kategori yang tidak sesuai keinginan. Ada diskon harus belanja ratusan ribu dulu. Hadeuh hari gini, belanja online ngak ada gratis ongkir.. Apk sebelah dengan belanja 20k tanpa kategori tertentu, sudah gratis ongkir. Dulu sempat menjadi favorit saya dalam belanja secara online. Kesininya jarang promo apalagi tidak ada lagi gratis ongkir. Uninstal aja lha..",2,Negatif
"Pengiriman cepat di tujuan dan sesuai dengan pesanan, mantap dan tetap semangat.",5,Positif
"Biaya layanan perbulannya mpe 20000, kalau paylaternya dipake. udah dibyar mlh dibekukan",5,Positif
Mempermudah memperoleh keinginan dengan lebih mudah dan cepat. Good application recommended,5,Positif
Cukup membantu. Hanya saja limitnya kurang jadi saya tidak bisa belanja lebih banyak,5,Positif
"sayang pop up yg dikanan ga bs diminimalis, kalau skrol layar cari barang sangat mengganggu,, untuk kamus pencarian tidak ada pembetulan kalimat dan saran kalimat jadi yah agak repot ketik hapus,, untuk sc live chat tempatnya cukup sulit carinya,, selebih nya ok",5,Positif
"Mantap belanja dibukalapak, anti ribet n yg pastinya kualitas terjamin juga",5,Positif
bukalapak sangat membantu saya mencari kelas di skill academy dan proses transaksinya sangat cepat tanpa berlama-lama terima kasih bukalapak,5,Positif
Pembelian produk di gital belum di kirim status selesai mau komplain ga ada tombolnya chat Bukalapak pun sudah..,1,Negatif
Saya tidak pernah transaksi kenapa tiba2 saldo saya berkurang aplikasi pencuri,1,Negatif
"Min mau tanya paket saya tidak datang, gimana cara agar uang saya bisa kembali, saya sudah komplain tapi aplikasinya error, no pesanan saya BL2418YYYPUXINV, mohon di respon, terimakasih 🙏🏻🙏🏻",1,Negatif
"Kenapa buka lapak mempersulit untuk menghapus akun, saya sdh melakukan sesuai petunjuk dg cara melampirkan formulir yang ditanda tangani pakai materai 10 rb dan melampirkan ID card, kemudian mendapatkan balasan email dg penjelasan bahwa saya masih memiliki saldo dana, dan jika tetap dibiarkan akan terhapus, lalu saya diminta menanggapi, saya jawab biar saja saldo saya terhapus sesuai isi formulir yg sdh saya tanda tangani bahwa saldo akan terhapus. Malah diminta foto lg dg memegnag IDcard.",1,Negatif
"Cuma gara2 lupa gak kasih ulasan ke barang yg dibeli aja akun bisa ditangguhkan, skrg mumpung udah inget harus kasih bintang 1 ke marketplace yg satu ini, mendingan tok*pedia",1,Negatif
Pesannya mudah dan cepat juga pengirimannya,5,Positif
Memang bener 2 mantap bukalapak transaksi cepat gak pakai lama langsung d proses,5,Positif
Sangat membantu sekali..mempermudah dalam pekerjaan sy txs.BL sukses selalu..jaga kinerja nya....,5,Positif
kembalikan saldo DANA saya ... DANA saya di tarik oleh BUKA LAPAK tanpa sepengetahuan saya.. sedang saya tak pernah download APK BUKA LAPAK. tolong kembalikan saldo saya...ini tindakan ilegal.,1,Negatif
"Saldo Dana saya raib sebesar 1.650.000 tanpa melakukan transaksi apa2..Aplikasi BL bisa auto transaksi sendiri..yang saya inginkan saldo dana saya balik 100%..Tingkat keamanan aplikasi nya mana..Ujung ujung tetap tidak ada pengembalian dana yang raib. Saya rugi, bukalapak tak akan ganti.",1,Negatif
Mohon bantuannya admin tolong dikonfirmasi ke pihak platform lembaga pelatihan cariin bahwa saya sudah menyelesaikan pelatihan nya.. dan d dashboard prakerja belum muncul sertifikat saya dan tidak bisa beri rating ulasan d dashboard prakerja saya.. terimakasih,4,Positif
Sangat mudah saat pembelian untuk pelatihan prakerja,5,Positif
"Beli tgl 1, sampe tgl 3 statusnya brg msh diproses oleh pelapak & blm dikirim"" karena tdk mendapatkan driver grab..sekalinya dpt eh orderan dibatalkan driver. Skrg mau coba beli lg statusnya msh sama kyk kmrn & hrs nunggu 3 hari sampe tgl 5 utk pengembalian dana..mau batalkan pesanan gak bisa karena statusnya sdh diproses oleh pelapak. Mau masuk ke aplikasi utk ngecek sdh sejauh mana prosesnya, eh malah ngeblank jd putih semua layarnya. Bnr"" busuk parah..kacau!!",1,Negatif
"Baru kali ini mengalami,susahnya cara komplain di marketplace ini,,tidak mau pakai lg apk ini,lebih baik rame² kita hapus",1,Negatif
"Aplikasi ini membuatku stress, saya sudah melakukan pembayaran pesanan tgl 29 Maret, tapi sampai tanggal 2 April pesananku belum dikirim, bahkan ada penguluran waktu sampai tanggal 5 April, bagaimana nasib pembeli,? Kenapa bisa selalai itu,?",1,Negatif
mau komplein barang aja gagal mulu makin kesini apk nya makin gak jelas payah padahal paket gua blum sampe di statusnya udh di terima sedangkan gua gk sama skli nerima paket pesanan nya,1,Negatif
"Sudah tidak ada lagi gratis ongkir/cas back belanja(pembayaran,) tolong ditingkatkan",1,Negatif
"Bukalapak benar susah untuk di hubungi csnya pdhl saya benar lagi minta bantuan, gimana orang mau masuk ke app anda tapi untuk keamanan saja sudah tidak baik alias buruk sekali, saya mau beli hp iPhone di buka lapak, tapi untuk uang emang di refund berhasil tapi yang saya binggungkan kenapa bisa masuk ke keluar saldo itu buka ke rekening kita malah ke rek si penipu, ada kasus baru untuk bukalapak perhatikan lagi 15 JT gak kecil ya, yang saya binggungkan kok bisa masuk ke dana ovo orang tersebut",1,Negatif
"Sudah melakukan pembayaran via BL namun sampai sekarang pembayaran belum juga diverifikasi. Nomor CS tidak bisa dihubungi, melalui fitur chat namun yg balas robot. Maaf baru kali ini sangat kecewa dengan buka lapak. Ini akan menjadi transaksi terakhir saya di BL",1,Negatif
Bagus cukup memenuhi kebutuhan dlm berbagai kebutuhan,5,Positif
Top lah... Semoga lebih di tingkatkan lagi untuk kelengkapan nominal top up game. Terima kasih,5,Positif
"Info custumer service buka lapak, pesanan saya statusnya kok di proses trus. Saya chat pelapak katanya sudah di antar ke si cepat, tpi resi belom muncul jga.",4,Positif
"Selalu menyenangkan belanja di Bukalapak, barang pesanan gak pernah mengecewakan & pengiriman selalu tepat, good job",5,Positif
"parah ni aplikasi, transaksi QR 1 juta duit nggk masuk2 gak tau kemana .. nggk ada respon dari pihak BL, gue chat gak ada tanggapan sama sekali.. parah sihh",1,Negatif
"Pengiriman cepat, barang sesuai iklan, dan praktis sangat puasssssssssssssssssss.,..banget.",5,Positif
Minta tolong uang saya hilang sendiri senilai 1.500.000 dari aplikasi DANA . Setelah saya cek riwayat pengiriman ternyata terkirim ke aplikasi BUKALAPAK . Padahal saya tidak pernah melakukan transaksi apapun dengan aplikasi BUKALAPAK dan baru pertama ini menginstal setelah uang saya hilang dari aplikasi DANA. Kalau bisa tolong kembalikan karna uang itu untuk keperluan rumah tangga saya 🙏,1,Negatif
"Bagus respon dg custamernya, kalau bisa saldonya di tambah limitnya biar tidak jalan di tempat saja limitnya",5,Positif
aplikasi yg sangat bagus & membantu sekali. Sangat simple mantaaabbb keren 👍👍👍👍👍,5,Positif
"kenapa pihak bukalapak menarik saldo dana saya, dan tolongg segera kembalikan saldo saya, memang bukalapak diancoookkk saldo saya gk juga dikembalikan",1,Negatif
"Aplikasi banyak bug nya, pendaftaran juga banyak bug nya... lebih dicek lagi lah pihak bukalapak..... mempersulit aja",1,Negatif
Bukalapak memang yang terbaik.Sangat puas belanja d buka lapak.dan sangat puas dengan pelayanan kurir karna begitu cepat sampai barang ny 👍.,5,Positif
Aplikasi bukalapak memang amanah tak perlu di ragukan ke aslianya mantap cuma pengiriman agak lambat,5,Positif
"Mohon maaf, sejak ± 1½ bln yg lalu sy sdh mendaftar sbg pelapak. Tp sampai saat ini tdk ada notifikasi terkait status lapak sy. Dan sy jg tdk bisa menjual di menu ""pelapak"" Kemarin (saat daftar) sy jg sdh mengisi goggle formulir. Adakah kontak admin Bukalapak yg bisa dihubungi?",1,Negatif
Dengan adanya belanja online ini semua jadi mudah makasih buka lapak. Puas saya bersama lapak ini terbantu tapi jangan ngasih limit kecil dong paylaternya masa 500 sejuta ke,5,Positif
"Aplikasi marketplace paling ancur... Ongkirnya parah disini... belajar dari toko ijo atau toko orange... Auto uninstall.. padahal aplikasi paling senior di Indonesia, tapi GK ada kemajuan dari dulu... 👎👎👎",1,Negatif
Aplikasi paling kacau saldo dari aplikasi dana bisa tersedot secara otomatis,1,Negatif
Kenapa di BUKALAPAK PAYLATER mesti ada biaya layanan dan itu 20rb? kami sebagai pengguna tersebut sedikit merasa keberatan sih..coba tanpa biaya layanan atau sedikit dikurangi pasti nanti sy tambah bintang 5. Oke harap diperhatikan. Terimakasih. Biaya layanan akunku jadi 19.990 mungkin bisa berkurang lagi? Jadi Rp.1.000 Tak kasih bintang 5😉,5,Positif
"cukup bintang satu saja, karena costumer servicenya sekarang kurang sigap menangani masalah. tadinya saya bahagia dgn bukalapak menjadi mitra, tp skrg tiap Costumer Service selalu bilang ""tunggu 1x24jam"" sudah 3 hari tidak ada solusi, paling balasan dibawah ini cuma bilang ""Maaf-maaf sajahhh"" tanpa solusi",1,Negatif
"Tutup aja aplikasi ini,aplikasi buat penipu ngambil dana kita,dana kita langsung terhubung kebukalapak,dana keluar tidak ada notif,penipu tambah meraja lela nantinya dari aplikasi ini",1,Negatif
"Anjir,aplikasi ga ada promo2nya (alias potongan harga)... Padahal sy sering beli barang2 itu.. Masa promonya barang2 lain..",1,Negatif
"Transaksi berhasil tapi pulsa ga masuk, ga ada customer service membalas di wa, udah mah biaya layanan nya gede bgt tapi pelayanan nya mengecewakan malah ke pending padahal saldo paylater masih ada Mending ganti aplikasi",1,Negatif
"Tolong lah untuk Kartu ATM fisiik pengiriman jgn lelet, pengen top up saldo jadi males klo kartu fisiik belum nyampe",5,Positif
No akun DANA saya di hack awal cek mutasi ada transaksi menggunakan Bukalapak. Padahal gk pakek aplikasi Bukalapak,1,Negatif
Sangat meresahkan ini aplikasi..saya kehilangan duwit didana saya buat bayar tagihan dibukalapak..pada hal saya ngga pernah beli barang atau pinjam duwit dibukalapak..tapi saya harus bayar tagihan ya... Sangat meresahkan,1,Negatif
Selamat malam untuk tim buka lapak Indonesia yang terhormat maaf sebelumnya ya saya merasa kecewa dengan apk anda karna dari apk anda ini saya telah merugi 3x karna pengguna dalam apk ini ada yang meretas akun dana saya secara sepihak maka dari itu saya mohon untuk bukalapak bisa melakukan penjaringan pihak yang masuk supaya tidak ada lagi yang dirugikan.dan juga tolong bekukan akun secara permanen di apk ini supaya tidak menjadi masalah lagi buat saya.,1,Negatif
Barang lengkap tolong perbanyak gratis ongkir nya pasti lebih mantap,5,Positif
"Buka bantuan sangat susah sering error sedang live chat sering keluar sendiri tolong di perbaiki klo ada apa2 repot lewat bantuan ga bisa, adain fitur chat by WA",1,Negatif
"Aplikasi yang sangat merugikan, masak iya saya ngak transaksi apapun di Bukalapak masak saldo saya yang di aplikasi DANA bisa berkurang sendiri, riwayatnya di ambil oleh aplikasi BUKALAPAK,mohon untuk di kembalikan senilai 2 juta 300 ribu",1,Negatif
"parah nih buklap, ane top up dana lewat buklap pdhal udah bayar tdi d aplikasinya masih menunggu pembayaran, cs nya pun main di tinggal aja pas komplen, sampai sekarang belom masuk top up an ane, sampai pembayar kadaluarsa.",1,Negatif
"sering error, susah masuknya, lemot, lelet....segera d perbaiki Harga barang mahal semua",2,Negatif
"Platform terburuk yg pernah saya coba selama ini, platform lain telat satu hari datang bisa claim uang. Ini berbulan bulan ga datang, barang hilang dan harus ribet ngurus asuransi. Woii aturan ini ga menguntungkan buat pembeli. Seharusnya yg urus asuransi pelapak saja. Sekarang semua platform berlomba lomba mempermudah buyer, kalau bukalapak ga berubah semakin lama ditinggalkan penggunanya, sekian",1,Negatif
"Anda punya masalah di bukalapak? Sebaiknya tinggalkan saja bukalapak, dan beralihlah ke e-commerce lain, yang lebih cepat merespon keluhan anda, dan bisa mudah diakses cs nya",1,Negatif
Tolong pihak Bukalapak ini ada pengambilan Saldo Dana saya. oleh oknum yg mengatas namakan Bukalapak dimutasi nya. ini gimana ko bisa nama saya sendiri didaftarkan sama orang lain.padahal saya tidak daftar & blum pernah daftar dibukalapak.saya diambil saldo nya bukan 1x. tapi udah 2x ini diambil. terakhir diambil 1juta..Top up Debit dari Bukalapak ke Dana saya.knpa bisa begitu tolong dibantu,5,Positif
"Makin parah... katanya aplikasi buatan anak bangsa tp potongan pajak bagi seller serasa zaman kompeni.. sdgkn shoppe aja yg notabene dari negara komunis justru blm ada potongan pajak bagi seller. Transaksi terakhir bernilai 1,6jt dan terkena potongan pajak hampir 100rb. Pdhl penjualan 1 item dan hanya barang rumah tangga...iya x klo jualan mobil yg untung nya besar. Dan jk terjadi masalah dlm transaksi jg ribetnya minta ampun sampe sebulan baru bs selesai. Asli kecewa sm Bukalapak",1,Negatif
"Sepi seller, ongkir nya paling mahal di antara E-commerce lain. Fitur search barang kurang dapat sih. Selebihnya oke",4,Positif
"Puas menggunakan BL, saran saja.. Tolong no yg bs di hubungi bt pengaduan, jika kt dlm masalah. No tsb tulis di halaman utama, biar ga bingung carinya, sbb skrg banyak sekali modus penipuan. Mohon di perhatikan itu, Penting sekali..!",5,Positif
"semoga lebih sukses, jauh berkembang dan semakin maju, bisa jadi aplikasi yg super duper aman tdk mudah di hack",5,Positif
"Ttp setia, promo nya diperbanyak, gratis ongkirnya diperbanyak dan syarat""nya di longgarkan",5,Positif
"Selamat pagi kk.. Saya mau komplain,kenapa saldo dana saya di ambil kak. Padahal saya tidak ada tagihan sama sekali kk. Sebagai bukalapak yang bijak dan amanah tolong kembalikan uang saya yang telah di curi dari pihak bukalapak....tolong kembalikan .saya butuh uang. Dari kebijakan bukalapak mana tanggung jawab kalian. Masak kalian diam saja tanpa melakukan apapun. Tolong kembalikan uang saya.",1,Negatif
Top markotop pokoknya segala macam ada dan mudah tuk di gunakan terimakasih,5,Positif
Parah.... Bisa2nya kurir pngiriman kasih nomor resi yg salah. Proses refund terlalu lama. Justru saya rugi di ongkir. Pesan apa datangnya apa....kont*l bukalapak,1,Negatif
"Gak banget deh buat urusan akun di bukalapak mau hapus akun butuh meterai 10000 padahal mau hapus akun karena pernah punya beberapa akun, ribet banget mana harus ke email dulu skip dah pokoknya",1,Negatif
"Gua kaga ada belanja d apk ini saldo dana gua kosong tiba"" ada transaksi pembayaran d bukalapak .. bagaimana kebijakan nya sedangkan saya tidak ada blanja d sini",1,Negatif
"Kurangi jadi 1, paylater dibekukan, padahal ga pernah telat, transaksi di Bukalapak juga sudah lama..tidak sedikit, tanpa penjelasan paylater dibekukan 👎 pindah ke sebelah saja..",1,Negatif
"Paylater nya menjebak,harganya di up 4% terus bunga nya edan,waktu transaksi ga tertera nilai pelayanan (bunga)nya pas bayar baru nampak bunga nya 40% yang mencekik trus pas mau dibayar ada biaya lagi pelayanan 2% .jadi total bunga(biaya layanan) 46% gila kaya rampokadi hati2 menggunakan paylater di buka lapak,saya saja langsung uninstal",1,Negatif
"Popup iklannya ngeselin,, lama lama pergi ke toko lain",1,Negatif
"Ini aplikasi pencuri atau gimana, saya lama gak gunakan aplikasi ini, tiba tiba saldo DANA saya di potong oleh Aplikasi ini, tagihan katanya, saya gak pernah gunakan aplikasi ini utk belanja atau transaksi gak pernah sama sekali, tapi dengan mudah curi uang saya di DANA,sampai saat ini saldo DAna sya yg di tarik oleh bukalapak belum di kembalikan",1,Negatif
Tolong diperbaiki seller untuk jualan nya. Masa kita mau cari produk sendiri sama upload barang jualan...jadi hilang semua data dan barang etalase kita??? Sedih...bukalapak...oh bukalapak,2,Negatif
"Ortu kena penipuan dan kehilangan uang 3,5 jt sama salah satu pengguna akun Bukalapak. Cs nya ditanyain malah ngilang, padahal masalah blom kelar.. 🤦 Aku sih pengguna setia toko oren",1,Negatif
"trimakasih respon pelapak cepat pengiriman juga cepat, sukses slalu tim",5,Positif
Barang nya bagus2 . Cuma tolong di gratis ongkir pengiriman nya banyakin . Agar bisa bersaing dengan banyak e-commerce,5,Positif
"Sudah jarang lg diskon,voucher, promo yg seperti dulu, sekarang sedikit bgt, mana diskon kecil tapi susah digunakan karena banyak syarat ini itu seperti tidak niat kasih voucher. Dulu sering belanja disini tapi sekarang karena ada yg lebih enak ya pindah. Heheee... Mudah-mudahan bisa kembali seperti dulu lagi.",4,Positif
"Tentang retur barang sudh di ikuti via bukasend, malah sudah kirim ke agen kurir dgn resi yg valid.. tp masih sulit melacak paket ke pelapak...masuk ke bukabantuan malah mentok di cs robot, delay lama... uang retur belum juga kembali :(",1,Negatif
"Sgt mmbantu, tp sayang ongkirnya terlalu mahal Masih 1 daerah , bisa 20 rb an Lo luar daerah 2 x lipat , bisa lebih Kalo barang ok , gk mngecewakan Saya sudah lngganan blnja d bukalapak 🙏🙏🙏🙏🙏👍👍👍👍 n dah berkali-kali transaksi tp gk bisa pake paylater nya",5,Positif
"kalau ingin bertahan perbaiki pelayanan dan fitur gan. kebanyakan trap banner pop up iklan dll mengganggu membuang waktu. layanan customer care ngga ada gunanya, komplain pembelian, saya dan seller ribut sendiri di kolom diskusi tp adminnya diem saja. pencarian barang terbatas ngga tahu sellernya dikit atau keyword browsingnya kurang canggih. kalau udah checkout (padahal blm dibayar) ngga bisa batal, mau checkout ulang dengan barng yg sesuai dengan pembayaran yg sama harus nunggu batal otomatis",2,Negatif
"Bukalapak ini Kaya mati suri,gk ada perubahan, tampilan biasa2 aja paylaternya pun gk ada,buat penampilan baru perbanyak paylater.",4,Positif
"Nyari barang di sini susah klo mau tulis harus sesuai yg tertulis yg muncul, klo gak ada yah gak muncul pilihan barangnya. Kalah lu sama aplikasi lain yg pencariannya kayak google akan memunculkan yang mirip2 dengan yg kita tulis. Ada juga pencarian pake foto. Lu susah..... Barang yg ku cari jadi gak ketemu2",1,Negatif
Barang jualan saya hilang tidak tau kemana. Di tulisan barang yg dijual pelapak ada 161 . Tapi yg tampil di beranda jualan cm 12 barang. Buka bantuan susahnya minta ampun buat live chat. Harus bagaimana? . Bukasend TIDAK BISA CETAK RESI. Padahal sebelum update bisa dan lancar.,2,Negatif
"Scammmmm!!!! Gua daftar Bukalapak buat transaksi prakerja,tapi setelah transaksi di keterangan transaksinya tidak ada kode vochernya dan saya akhirnya tidak bisa mengerjakan pelatihannya saldo pun sudah terpotong 1juta,saya lapor di DM ig pun tidak di respon parah sih gak ada perhatian nya sama kastamer",1,Negatif
aplikasi ini tidak aman saya tidak melakukan pembelian apapun tiba tiba aplikasi isi mengambil semua saldo dana saya mohon di perbaiki dan kembalikan saldo saya,1,Negatif
suka...mudah dan ndk ribet. Perlu ditingkatkan program gratis ongkir dan cod nya trims BL.. Semoga bisa berkembang lebih baik lagi..👍👍,5,Positif
"Berulangkali minta verivikasi email, begitu sukses, minta verivikasi email lagi, begitu terus. Aplikasinya lemot juga",1,Negatif
"Mantap dah,lebih mudah mencari barang yang diinginkan dan gak nunggu lama",5,Positif
"Walaupun banyak pesaing, aku tetep pakek e-commerce asli Indonesia... Mantap",5,Positif
beli barang 2 yg datang cuma satu complain cs ribet bener .. penjual online tp g nangepin complain di biarin ... kayaknya ini terakhir kali belanja disini,1,Negatif
"Jujur kecewa berat dengan bukalapak ini, paling ngeselin kalo baru buka sudah disuguhu iklan, dan ketika di klik tombol close malah masuk ke iklan itu,, pantesan sepi 👎👎👎",1,Negatif
"Pusat bantuan whatsapp tidak berguna sama sekali. Solusi tidak ada, chat cuma di read doang.",5,Positif
tiba tiba sedang ada perbaikan sistem. bikin konflik pembeli dan pelapak. barang sedang di proses tapi tampilannya menunggu di proses. barang sudah dikirim tapi tampilannya sedang di proses.,2,Negatif
