content,score,Sentimen,lowerCase,text_StopWord,text_tokens,text_stemindo
Bagus cukup memenuhi kebutuhan dlm berbagai kebutuhan,5,1,bagus cukup memenuhi kebutuhan dlm berbagai kebutuhan,bagus memenuhi kebutuhan dlm kebutuhan,"['bagus', 'memenuhi', 'kebutuhan', 'dlm', 'kebutuhan']",bagus penuh butuh dlm butuh
Top lah... Semoga lebih di tingkatkan lagi untuk kelengkapan nominal top up game. Terima kasih,5,1,top lah semoga lebih di tingkatkan lagi untuk kelengkapan nominal top up game terima kasih,top semoga tingkatkan kelengkapan nominal top up game terima kasih,"['top', 'semoga', 'tingkatkan', 'kelengkapan', 'nominal', 'top', 'up', 'game', 'terima', 'kasih']",top moga tingkat lengkap nominal top up game terima kasih
"Info custumer service buka lapak, pesanan saya statusnya kok di proses trus. Saya chat pelapak katanya sudah di antar ke si cepat, tpi resi belom muncul jga.",4,1,info custumer service buka lapak pesanan saya statusnya kok di proses trus saya chat pelapak katanya sudah di antar ke si cepat tpi resi belom muncul jga,info custumer service buka lapak pesanan statusnya proses trus chat pelapak si cepat tpi resi belom muncul jga,"['info', 'custumer', 'service', 'buka', 'lapak', 'pesanan', 'statusnya', 'proses', 'trus', 'chat', 'pelapak', 'si', 'cepat', 'tpi', 'resi', 'belom', 'muncul', 'jga']",info custumer service buka lapak pesan status proses trus chat lapak si cepat tpi resi bom muncul jga
"Selalu menyenangkan belanja di Bukalapak, barang pesanan gak pernah mengecewakan & pengiriman selalu tepat, good job",5,1,selalu menyenangkan belanja di bukalapak barang pesanan gak pernah mengecewakan  pengiriman selalu tepat good job,menyenangkan belanja bukalapak barang pesanan mengecewakan pengiriman good job,"['menyenangkan', 'belanja', 'bukalapak', 'barang', 'pesanan', 'mengecewakan', 'pengiriman', 'good', 'job']",senang belanja bukalapak barang pesan kecewa kirim good job
"parah ni aplikasi, transaksi QR 1 juta duit nggk masuk2 gak tau kemana .. nggk ada respon dari pihak BL, gue chat gak ada tanggapan sama sekali.. parah sihh",1,0,parah ni aplikasi transaksi qr  juta duit nggk masuk gak tau kemana  nggk ada respon dari pihak bl gue chat gak ada tanggapan sama sekali parah sihh,parah ni aplikasi transaksi qr juta duit nggk masuk tau kemana nggk respon bl gue chat tanggapan parah sihh,"['parah', 'ni', 'aplikasi', 'transaksi', 'qr', 'juta', 'duit', 'nggk', 'masuk', 'tau', 'kemana', 'nggk', 'respon', 'bl', 'gue', 'chat', 'tanggapan', 'parah', 'sihh']",parah ni aplikasi transaksi qr juta duit nggk masuk tau mana nggk respon bl gue chat tanggap parah sihh
"Pengiriman cepat, barang sesuai iklan, dan praktis sangat puasssssssssssssssssss.,..banget.",5,1,pengiriman cepat barang sesuai iklan dan praktis sangat puasssssssssssssssssssbanget,pengiriman cepat barang sesuai iklan praktis puasssssssssssssssssssbanget,"['pengiriman', 'cepat', 'barang', 'sesuai', 'iklan', 'praktis', 'puasssssssssssssssssssbanget']",kirim cepat barang sesuai iklan praktis puasssssssssssssssssssbanget
Minta tolong uang saya hilang sendiri senilai 1.500.000 dari aplikasi DANA . Setelah saya cek riwayat pengiriman ternyata terkirim ke aplikasi BUKALAPAK . Padahal saya tidak pernah melakukan transaksi apapun dengan aplikasi BUKALAPAK dan baru pertama ini menginstal setelah uang saya hilang dari aplikasi DANA. Kalau bisa tolong kembalikan karna uang itu untuk keperluan rumah tangga saya 🙏,1,0,minta tolong uang saya hilang sendiri senilai  dari aplikasi dana  setelah saya cek riwayat pengiriman ternyata terkirim ke aplikasi bukalapak  padahal saya tidak pernah melakukan transaksi apapun dengan aplikasi bukalapak dan baru pertama ini menginstal setelah uang saya hilang dari aplikasi dana kalau bisa tolong kembalikan karna uang itu untuk keperluan rumah tangga saya ,tolong uang hilang senilai aplikasi dana cek riwayat pengiriman terkirim aplikasi bukalapak transaksi apapun aplikasi bukalapak menginstal uang hilang aplikasi dana tolong kembalikan karna uang keperluan rumah tangga,"['tolong', 'uang', 'hilang', 'senilai', 'aplikasi', 'dana', 'cek', 'riwayat', 'pengiriman', 'terkirim', 'aplikasi', 'bukalapak', 'transaksi', 'apapun', 'aplikasi', 'bukalapak', 'menginstal', 'uang', 'hilang', 'aplikasi', 'dana', 'tolong', 'kembalikan', 'karna', 'uang', 'keperluan', 'rumah', 'tangga']",tolong uang hilang nila aplikasi dana cek riwayat kirim kirim aplikasi bukalapak transaksi apa aplikasi bukalapak menginstal uang hilang aplikasi dana tolong kembali karna uang perlu rumah tangga
"Bagus respon dg custamernya, kalau bisa saldonya di tambah limitnya biar tidak jalan di tempat saja limitnya",5,1,bagus respon dg custamernya kalau bisa saldonya di tambah limitnya biar tidak jalan di tempat saja limitnya,bagus respon dg custamernya saldonya limitnya biar jalan limitnya,"['bagus', 'respon', 'dg', 'custamernya', 'saldonya', 'limitnya', 'biar', 'jalan', 'limitnya']",bagus respon dg custamernya saldo limit biar jalan limit
aplikasi yg sangat bagus & membantu sekali. Sangat simple mantaaabbb keren 👍👍👍👍👍,5,1,aplikasi yg sangat bagus  membantu sekali sangat simple mantaaabbb keren ,aplikasi bagus membantu simple mantaaabbb keren,"['aplikasi', 'bagus', 'membantu', 'simple', 'mantaaabbb', 'keren']",aplikasi bagus bantu simple mantaaabbb keren
"kenapa pihak bukalapak menarik saldo dana saya, dan tolongg segera kembalikan saldo saya, memang bukalapak diancoookkk saldo saya gk juga dikembalikan",1,0,kenapa pihak bukalapak menarik saldo dana saya dan tolongg segera kembalikan saldo saya memang bukalapak diancoookkk saldo saya gk juga dikembalikan,bukalapak menarik saldo dana tolongg kembalikan saldo bukalapak diancoookkk saldo dikembalikan,"['bukalapak', 'menarik', 'saldo', 'dana', 'tolongg', 'kembalikan', 'saldo', 'bukalapak', 'diancoookkk', 'saldo', 'dikembalikan']",bukalapak tarik saldo dana tolongg kembali saldo bukalapak diancoookkk saldo kembali
"Aplikasi banyak bug nya, pendaftaran juga banyak bug nya... lebih dicek lagi lah pihak bukalapak..... mempersulit aja",1,0,aplikasi banyak bug nya pendaftaran juga banyak bug nya lebih dicek lagi lah pihak bukalapak mempersulit aja,aplikasi bug pendaftaran bug dicek bukalapak mempersulit,"['aplikasi', 'bug', 'pendaftaran', 'bug', 'dicek', 'bukalapak', 'mempersulit']",aplikasi bug daftar bug cek bukalapak sulit
Bukalapak memang yang terbaik.Sangat puas belanja d buka lapak.dan sangat puas dengan pelayanan kurir karna begitu cepat sampai barang ny 👍.,5,1,bukalapak memang yang terbaiksangat puas belanja d buka lapakdan sangat puas dengan pelayanan kurir karna begitu cepat sampai barang ny ,bukalapak terbaiksangat puas belanja d buka lapakdan puas pelayanan kurir karna cepat barang ny,"['bukalapak', 'terbaiksangat', 'puas', 'belanja', 'd', 'buka', 'lapakdan', 'puas', 'pelayanan', 'kurir', 'karna', 'cepat', 'barang', 'ny']",bukalapak terbaiksangat puas belanja d buka lapakdan puas layan kurir karna cepat barang ny
Aplikasi bukalapak memang amanah tak perlu di ragukan ke aslianya mantap cuma pengiriman agak lambat,5,1,aplikasi bukalapak memang amanah tak perlu di ragukan ke aslianya mantap cuma pengiriman agak lambat,aplikasi bukalapak amanah ragukan aslianya mantap pengiriman lambat,"['aplikasi', 'bukalapak', 'amanah', 'ragukan', 'aslianya', 'mantap', 'pengiriman', 'lambat']",aplikasi bukalapak amanah ragu aslianya mantap kirim lambat
"Mohon maaf, sejak ± 1½ bln yg lalu sy sdh mendaftar sbg pelapak. Tp sampai saat ini tdk ada notifikasi terkait status lapak sy. Dan sy jg tdk bisa menjual di menu ""pelapak"" Kemarin (saat daftar) sy jg sdh mengisi goggle formulir. Adakah kontak admin Bukalapak yg bisa dihubungi?",1,0,mohon maaf sejak   bln yg lalu sy sdh mendaftar sbg pelapak tp sampai saat ini tdk ada notifikasi terkait status lapak sy dan sy jg tdk bisa menjual di menu pelapak kemarin saat daftar sy jg sdh mengisi goggle formulir adakah kontak admin bukalapak yg bisa dihubungi,mohon maaf bln sy sdh mendaftar sbg pelapak notifikasi terkait status lapak sy sy menjual menu pelapak kemarin daftar sy sdh mengisi goggle formulir adakah kontak admin bukalapak dihubungi,"['mohon', 'maaf', 'bln', 'sy', 'sdh', 'mendaftar', 'sbg', 'pelapak', 'notifikasi', 'terkait', 'status', 'lapak', 'sy', 'sy', 'menjual', 'menu', 'pelapak', 'kemarin', 'daftar', 'sy', 'sdh', 'mengisi', 'goggle', 'formulir', 'adakah', 'kontak', 'admin', 'bukalapak', 'dihubungi']",mohon maaf bln sy sdh daftar sbg lapak notifikasi kait status lapak sy sy jual menu lapak kemarin daftar sy sdh isi goggle formulir ada kontak admin bukalapak hubung
Dengan adanya belanja online ini semua jadi mudah makasih buka lapak. Puas saya bersama lapak ini terbantu tapi jangan ngasih limit kecil dong paylaternya masa 500 sejuta ke,5,1,dengan adanya belanja online ini semua jadi mudah makasih buka lapak puas saya bersama lapak ini terbantu tapi jangan ngasih limit kecil dong paylaternya masa  sejuta ke,belanja online mudah makasih buka lapak puas lapak terbantu ngasih limit paylaternya sejuta,"['belanja', 'online', 'mudah', 'makasih', 'buka', 'lapak', 'puas', 'lapak', 'terbantu', 'ngasih', 'limit', 'paylaternya', 'sejuta']",belanja online mudah makasih buka lapak puas lapak bantu ngasih limit paylaternya juta
"Aplikasi marketplace paling ancur... Ongkirnya parah disini... belajar dari toko ijo atau toko orange... Auto uninstall.. padahal aplikasi paling senior di Indonesia, tapi GK ada kemajuan dari dulu... 👎👎👎",1,0,aplikasi marketplace paling ancur ongkirnya parah disini belajar dari toko ijo atau toko orange auto uninstall padahal aplikasi paling senior di indonesia tapi gk ada kemajuan dari dulu ,aplikasi marketplace ancur ongkirnya parah belajar toko ijo toko orange auto uninstall aplikasi senior indonesia kemajuan,"['aplikasi', 'marketplace', 'ancur', 'ongkirnya', 'parah', 'belajar', 'toko', 'ijo', 'toko', 'orange', 'auto', 'uninstall', 'aplikasi', 'senior', 'indonesia', 'kemajuan']",aplikasi marketplace ancur ongkirnya parah ajar toko ijo toko orange auto uninstall aplikasi senior indonesia maju
Aplikasi paling kacau saldo dari aplikasi dana bisa tersedot secara otomatis,1,0,aplikasi paling kacau saldo dari aplikasi dana bisa tersedot secara otomatis,aplikasi kacau saldo aplikasi dana tersedot otomatis,"['aplikasi', 'kacau', 'saldo', 'aplikasi', 'dana', 'tersedot', 'otomatis']",aplikasi kacau saldo aplikasi dana sedot otomatis
Kenapa di BUKALAPAK PAYLATER mesti ada biaya layanan dan itu 20rb? kami sebagai pengguna tersebut sedikit merasa keberatan sih..coba tanpa biaya layanan atau sedikit dikurangi pasti nanti sy tambah bintang 5. Oke harap diperhatikan. Terimakasih. Biaya layanan akunku jadi 19.990 mungkin bisa berkurang lagi? Jadi Rp.1.000 Tak kasih bintang 5😉,5,1,kenapa di bukalapak paylater mesti ada biaya layanan dan itu rb kami sebagai pengguna tersebut sedikit merasa keberatan sihcoba tanpa biaya layanan atau sedikit dikurangi pasti nanti sy tambah bintang  oke harap diperhatikan terimakasih biaya layanan akunku jadi  mungkin bisa berkurang lagi jadi rp tak kasih bintang ,bukalapak paylater mesti biaya layanan rb pengguna keberatan sihcoba biaya layanan dikurangi sy bintang oke harap diperhatikan terimakasih biaya layanan akunku berkurang rp kasih bintang,"['bukalapak', 'paylater', 'mesti', 'biaya', 'layanan', 'rb', 'pengguna', 'keberatan', 'sihcoba', 'biaya', 'layanan', 'dikurangi', 'sy', 'bintang', 'oke', 'harap', 'diperhatikan', 'terimakasih', 'biaya', 'layanan', 'akunku', 'berkurang', 'rp', 'kasih', 'bintang']",bukalapak paylater mesti biaya layan rb guna berat sihcoba biaya layan rang sy bintang oke harap perhati terimakasih biaya layan akun kurang rp kasih bintang
"cukup bintang satu saja, karena costumer servicenya sekarang kurang sigap menangani masalah. tadinya saya bahagia dgn bukalapak menjadi mitra, tp skrg tiap Costumer Service selalu bilang ""tunggu 1x24jam"" sudah 3 hari tidak ada solusi, paling balasan dibawah ini cuma bilang ""Maaf-maaf sajahhh"" tanpa solusi",1,0,cukup bintang satu saja karena costumer servicenya sekarang kurang sigap menangani masalah tadinya saya bahagia dgn bukalapak menjadi mitra tp skrg tiap costumer service selalu bilang tunggu xjam sudah  hari tidak ada solusi paling balasan dibawah ini cuma bilang maafmaaf sajahhh tanpa solusi,bintang costumer servicenya sigap menangani bahagia dgn bukalapak mitra skrg costumer service bilang tunggu xjam solusi balasan dibawah bilang maafmaaf sajahhh solusi,"['bintang', 'costumer', 'servicenya', 'sigap', 'menangani', 'bahagia', 'dgn', 'bukalapak', 'mitra', 'skrg', 'costumer', 'service', 'bilang', 'tunggu', 'xjam', 'solusi', 'balasan', 'dibawah', 'bilang', 'maafmaaf', 'sajahhh', 'solusi']",bintang costumer servicenya sigap tangan bahagia dgn bukalapak mitra skrg costumer service bilang tunggu xjam solusi balas bawah bilang maafmaaf sajahhh solusi
"Tutup aja aplikasi ini,aplikasi buat penipu ngambil dana kita,dana kita langsung terhubung kebukalapak,dana keluar tidak ada notif,penipu tambah meraja lela nantinya dari aplikasi ini",1,0,tutup aja aplikasi iniaplikasi buat penipu ngambil dana kitadana kita langsung terhubung kebukalapakdana keluar tidak ada notifpenipu tambah meraja lela nantinya dari aplikasi ini,tutup aplikasi iniaplikasi penipu ngambil dana kitadana langsung terhubung kebukalapakdana notifpenipu meraja lela aplikasi,"['tutup', 'aplikasi', 'iniaplikasi', 'penipu', 'ngambil', 'dana', 'kitadana', 'langsung', 'terhubung', 'kebukalapakdana', 'notifpenipu', 'meraja', 'lela', 'aplikasi']",tutup aplikasi iniaplikasi tipu ngambil dana kitadana langsung hubung kebukalapakdana notifpenipu raja lela aplikasi
"Anjir,aplikasi ga ada promo2nya (alias potongan harga)... Padahal sy sering beli barang2 itu.. Masa promonya barang2 lain..",1,0,anjiraplikasi ga ada promonya alias potongan harga padahal sy sering beli barang itu masa promonya barang lain,anjiraplikasi promonya alias potongan harga sy beli barang promonya barang,"['anjiraplikasi', 'promonya', 'alias', 'potongan', 'harga', 'sy', 'beli', 'barang', 'promonya', 'barang']",anjiraplikasi promonya alias potong harga sy beli barang promonya barang
"Transaksi berhasil tapi pulsa ga masuk, ga ada customer service membalas di wa, udah mah biaya layanan nya gede bgt tapi pelayanan nya mengecewakan malah ke pending padahal saldo paylater masih ada Mending ganti aplikasi",1,0,transaksi berhasil tapi pulsa ga masuk ga ada customer service membalas di wa udah mah biaya layanan nya gede bgt tapi pelayanan nya mengecewakan malah ke pending padahal saldo paylater masih ada mending ganti aplikasi,transaksi berhasil pulsa masuk customer service membalas wa udah mah biaya layanan gede bgt pelayanan mengecewakan pending saldo paylater mending ganti aplikasi,"['transaksi', 'berhasil', 'pulsa', 'masuk', 'customer', 'service', 'membalas', 'wa', 'udah', 'mah', 'biaya', 'layanan', 'gede', 'bgt', 'pelayanan', 'mengecewakan', 'pending', 'saldo', 'paylater', 'mending', 'ganti', 'aplikasi']",transaksi hasil pulsa masuk customer service balas wa udah mah biaya layan gede bgt layan kecewa pending saldo paylater mending ganti aplikasi
"Tolong lah untuk Kartu ATM fisiik pengiriman jgn lelet, pengen top up saldo jadi males klo kartu fisiik belum nyampe",5,1,tolong lah untuk kartu atm fisiik pengiriman jgn lelet pengen top up saldo jadi males klo kartu fisiik belum nyampe,tolong kartu atm fisiik pengiriman jgn lelet pengen top up saldo males klo kartu fisiik nyampe,"['tolong', 'kartu', 'atm', 'fisiik', 'pengiriman', 'jgn', 'lelet', 'pengen', 'top', 'up', 'saldo', 'males', 'klo', 'kartu', 'fisiik', 'nyampe']",tolong kartu atm fisiik kirim jgn lelet ken top up saldo males klo kartu fisiik nyampe
No akun DANA saya di hack awal cek mutasi ada transaksi menggunakan Bukalapak. Padahal gk pakek aplikasi Bukalapak,1,0,no akun dana saya di hack awal cek mutasi ada transaksi menggunakan bukalapak padahal gk pakek aplikasi bukalapak,no akun dana hack cek mutasi transaksi bukalapak pakek aplikasi bukalapak,"['no', 'akun', 'dana', 'hack', 'cek', 'mutasi', 'transaksi', 'bukalapak', 'pakek', 'aplikasi', 'bukalapak']",no akun dana hack cek mutasi transaksi bukalapak pakek aplikasi bukalapak
Sangat meresahkan ini aplikasi..saya kehilangan duwit didana saya buat bayar tagihan dibukalapak..pada hal saya ngga pernah beli barang atau pinjam duwit dibukalapak..tapi saya harus bayar tagihan ya... Sangat meresahkan,1,0,sangat meresahkan ini aplikasisaya kehilangan duwit didana saya buat bayar tagihan dibukalapakpada hal saya ngga pernah beli barang atau pinjam duwit dibukalapaktapi saya harus bayar tagihan ya sangat meresahkan,meresahkan aplikasisaya kehilangan duwit didana bayar tagihan dibukalapakpada ngga beli barang pinjam duwit dibukalapaktapi bayar tagihan meresahkan,"['meresahkan', 'aplikasisaya', 'kehilangan', 'duwit', 'didana', 'bayar', 'tagihan', 'dibukalapakpada', 'ngga', 'beli', 'barang', 'pinjam', 'duwit', 'dibukalapaktapi', 'bayar', 'tagihan', 'meresahkan']",resah aplikasisaya hilang duwit dana bayar tagih dibukalapakpada ngga beli barang pinjam duwit dibukalapaktapi bayar tagih resah
Selamat malam untuk tim buka lapak Indonesia yang terhormat maaf sebelumnya ya saya merasa kecewa dengan apk anda karna dari apk anda ini saya telah merugi 3x karna pengguna dalam apk ini ada yang meretas akun dana saya secara sepihak maka dari itu saya mohon untuk bukalapak bisa melakukan penjaringan pihak yang masuk supaya tidak ada lagi yang dirugikan.dan juga tolong bekukan akun secara permanen di apk ini supaya tidak menjadi masalah lagi buat saya.,1,0,selamat malam untuk tim buka lapak indonesia yang terhormat maaf sebelumnya ya saya merasa kecewa dengan apk anda karna dari apk anda ini saya telah merugi x karna pengguna dalam apk ini ada yang meretas akun dana saya secara sepihak maka dari itu saya mohon untuk bukalapak bisa melakukan penjaringan pihak yang masuk supaya tidak ada lagi yang dirugikandan juga tolong bekukan akun secara permanen di apk ini supaya tidak menjadi masalah lagi buat saya,selamat malam tim buka lapak indonesia terhormat maaf kecewa apk karna apk merugi karna pengguna apk meretas akun dana mohon bukalapak penjaringan masuk dirugikandan tolong bekukan akun permanen apk,"['selamat', 'malam', 'tim', 'buka', 'lapak', 'indonesia', 'terhormat', 'maaf', 'kecewa', 'apk', 'karna', 'apk', 'merugi', 'karna', 'pengguna', 'apk', 'meretas', 'akun', 'dana', 'mohon', 'bukalapak', 'penjaringan', 'masuk', 'dirugikandan', 'tolong', 'bekukan', 'akun', 'permanen', 'apk']",selamat malam tim buka lapak indonesia hormat maaf kecewa apk karna apk rugi karna guna apk retas akun dana mohon bukalapak jaring masuk dirugikandan tolong beku akun permanen apk
Barang lengkap tolong perbanyak gratis ongkir nya pasti lebih mantap,5,1,barang lengkap tolong perbanyak gratis ongkir nya pasti lebih mantap,barang lengkap tolong perbanyak gratis ongkir mantap,"['barang', 'lengkap', 'tolong', 'perbanyak', 'gratis', 'ongkir', 'mantap']",barang lengkap tolong banyak gratis ongkir mantap
"Buka bantuan sangat susah sering error sedang live chat sering keluar sendiri tolong di perbaiki klo ada apa2 repot lewat bantuan ga bisa, adain fitur chat by WA",1,0,buka bantuan sangat susah sering error sedang live chat sering keluar sendiri tolong di perbaiki klo ada apa repot lewat bantuan ga bisa adain fitur chat by wa,buka bantuan susah error live chat tolong perbaiki klo repot bantuan adain fitur chat by wa,"['buka', 'bantuan', 'susah', 'error', 'live', 'chat', 'tolong', 'perbaiki', 'klo', 'repot', 'bantuan', 'adain', 'fitur', 'chat', 'by', 'wa']",buka bantu susah error live chat tolong baik klo repot bantu adain fitur chat by wa
"Aplikasi yang sangat merugikan, masak iya saya ngak transaksi apapun di Bukalapak masak saldo saya yang di aplikasi DANA bisa berkurang sendiri, riwayatnya di ambil oleh aplikasi BUKALAPAK,mohon untuk di kembalikan senilai 2 juta 300 ribu",1,0,aplikasi yang sangat merugikan masak iya saya ngak transaksi apapun di bukalapak masak saldo saya yang di aplikasi dana bisa berkurang sendiri riwayatnya di ambil oleh aplikasi bukalapakmohon untuk di kembalikan senilai  juta  ribu,aplikasi merugikan masak iya ngak transaksi apapun bukalapak masak saldo aplikasi dana berkurang riwayatnya ambil aplikasi bukalapakmohon kembalikan senilai juta ribu,"['aplikasi', 'merugikan', 'masak', 'iya', 'ngak', 'transaksi', 'apapun', 'bukalapak', 'masak', 'saldo', 'aplikasi', 'dana', 'berkurang', 'riwayatnya', 'ambil', 'aplikasi', 'bukalapakmohon', 'kembalikan', 'senilai', 'juta', 'ribu']",aplikasi rugi masak iya ngak transaksi apa bukalapak masak saldo aplikasi dana kurang riwayat ambil aplikasi bukalapakmohon kembali nila juta ribu
"parah nih buklap, ane top up dana lewat buklap pdhal udah bayar tdi d aplikasinya masih menunggu pembayaran, cs nya pun main di tinggal aja pas komplen, sampai sekarang belom masuk top up an ane, sampai pembayar kadaluarsa.",1,0,parah nih buklap ane top up dana lewat buklap pdhal udah bayar tdi d aplikasinya masih menunggu pembayaran cs nya pun main di tinggal aja pas komplen sampai sekarang belom masuk top up an ane sampai pembayar kadaluarsa,parah nih buklap ane top up dana buklap pdhal udah bayar tdi d aplikasinya menunggu pembayaran cs main tinggal pas komplen belom masuk top up an ane pembayar kadaluarsa,"['parah', 'nih', 'buklap', 'ane', 'top', 'up', 'dana', 'buklap', 'pdhal', 'udah', 'bayar', 'tdi', 'd', 'aplikasinya', 'menunggu', 'pembayaran', 'cs', 'main', 'tinggal', 'pas', 'komplen', 'belom', 'masuk', 'top', 'up', 'an', 'ane', 'pembayar', 'kadaluarsa']",parah nih buklap ane top up dana buklap pdhal udah bayar tdi d aplikasi tunggu bayar cs main tinggal pas komplen bom masuk top up an ane bayar kadaluarsa
"sering error, susah masuknya, lemot, lelet....segera d perbaiki Harga barang mahal semua",2,0,sering error susah masuknya lemot leletsegera d perbaiki harga barang mahal semua,error susah masuknya lemot leletsegera d perbaiki harga barang mahal,"['error', 'susah', 'masuknya', 'lemot', 'leletsegera', 'd', 'perbaiki', 'harga', 'barang', 'mahal']",error susah masuk lot leletsegera d baik harga barang mahal
"Platform terburuk yg pernah saya coba selama ini, platform lain telat satu hari datang bisa claim uang. Ini berbulan bulan ga datang, barang hilang dan harus ribet ngurus asuransi. Woii aturan ini ga menguntungkan buat pembeli. Seharusnya yg urus asuransi pelapak saja. Sekarang semua platform berlomba lomba mempermudah buyer, kalau bukalapak ga berubah semakin lama ditinggalkan penggunanya, sekian",1,0,platform terburuk yg pernah saya coba selama ini platform lain telat satu hari datang bisa claim uang ini berbulan bulan ga datang barang hilang dan harus ribet ngurus asuransi woii aturan ini ga menguntungkan buat pembeli seharusnya yg urus asuransi pelapak saja sekarang semua platform berlomba lomba mempermudah buyer kalau bukalapak ga berubah semakin lama ditinggalkan penggunanya sekian,platform terburuk coba platform telat claim uang berbulan barang hilang ribet ngurus asuransi woii aturan menguntungkan pembeli urus asuransi pelapak platform berlomba lomba mempermudah buyer bukalapak berubah ditinggalkan penggunanya sekian,"['platform', 'terburuk', 'coba', 'platform', 'telat', 'claim', 'uang', 'berbulan', 'barang', 'hilang', 'ribet', 'ngurus', 'asuransi', 'woii', 'aturan', 'menguntungkan', 'pembeli', 'urus', 'asuransi', 'pelapak', 'platform', 'berlomba', 'lomba', 'mempermudah', 'buyer', 'bukalapak', 'berubah', 'ditinggalkan', 'penggunanya', 'sekian']",platform buruk coba platform telat claim uang bulan barang hilang ribet ngurus asuransi woii atur untung beli urus asuransi lapak platform lomba lomba mudah buyer bukalapak ubah tinggal guna sekian
"Anda punya masalah di bukalapak? Sebaiknya tinggalkan saja bukalapak, dan beralihlah ke e-commerce lain, yang lebih cepat merespon keluhan anda, dan bisa mudah diakses cs nya",1,0,anda punya masalah di bukalapak sebaiknya tinggalkan saja bukalapak dan beralihlah ke ecommerce lain yang lebih cepat merespon keluhan anda dan bisa mudah diakses cs nya,bukalapak tinggalkan bukalapak beralihlah ecommerce cepat merespon keluhan mudah diakses cs,"['bukalapak', 'tinggalkan', 'bukalapak', 'beralihlah', 'ecommerce', 'cepat', 'merespon', 'keluhan', 'mudah', 'diakses', 'cs']",bukalapak tinggal bukalapak alih ecommerce cepat merespon keluh mudah akses cs
Tolong pihak Bukalapak ini ada pengambilan Saldo Dana saya. oleh oknum yg mengatas namakan Bukalapak dimutasi nya. ini gimana ko bisa nama saya sendiri didaftarkan sama orang lain.padahal saya tidak daftar & blum pernah daftar dibukalapak.saya diambil saldo nya bukan 1x. tapi udah 2x ini diambil. terakhir diambil 1juta..Top up Debit dari Bukalapak ke Dana saya.knpa bisa begitu tolong dibantu,5,1,tolong pihak bukalapak ini ada pengambilan saldo dana saya oleh oknum yg mengatas namakan bukalapak dimutasi nya ini gimana ko bisa nama saya sendiri didaftarkan sama orang lainpadahal saya tidak daftar  blum pernah daftar dibukalapaksaya diambil saldo nya bukan x tapi udah x ini diambil terakhir diambil jutatop up debit dari bukalapak ke dana sayaknpa bisa begitu tolong dibantu,tolong bukalapak pengambilan saldo dana oknum mengatas namakan bukalapak dimutasi gimana ko nama didaftarkan orang lainpadahal daftar blum daftar dibukalapaksaya diambil saldo udah diambil diambil jutatop up debit bukalapak dana sayaknpa tolong dibantu,"['tolong', 'bukalapak', 'pengambilan', 'saldo', 'dana', 'oknum', 'mengatas', 'namakan', 'bukalapak', 'dimutasi', 'gimana', 'ko', 'nama', 'didaftarkan', 'orang', 'lainpadahal', 'daftar', 'blum', 'daftar', 'dibukalapaksaya', 'diambil', 'saldo', 'udah', 'diambil', 'diambil', 'jutatop', 'up', 'debit', 'bukalapak', 'dana', 'sayaknpa', 'tolong', 'dibantu']",tolong bukalapak ambil saldo dana oknum atas nama bukalapak mutasi gimana ko nama daftar orang lainpadahal daftar blum daftar dibukalapaksaya ambil saldo udah ambil ambil jutatop up debit bukalapak dana sayaknpa tolong bantu
